frame_index,step_time,eps11_bc,y_mm,u3_mean_mm,u3_min_mm,u3_max_mm,n_nodes
0,0.0,0.0,14.84375,0.0,0.0,0.0,6
0,0.0,0.0,15.0,0.0,0.0,0.0,6
0,0.0,0.0,15.15625,0.0,0.0,0.0,6
0,0.0,0.0,15.3125,0.0,0.0,0.0,8
0,0.0,0.0,15.46875,0.0,0.0,0.0,8
0,0.0,0.0,15.625,0.0,0.0,0.0,8
0,0.0,0.0,15.78125,0.0,0.0,0.0,8
0,0.0,0.0,15.9375,0.0,0.0,0.0,8
0,0.0,0.0,16.09375,0.0,0.0,0.0,8
0,0.0,0.0,16.25,0.0,0.0,0.0,10
0,0.0,0.0,16.40625,0.0,0.0,0.0,12
0,0.0,0.0,16.5625,0.0,0.0,0.0,12
0,0.0,0.0,16.71875,0.0,0.0,0.0,14
0,0.0,0.0,16.875,0.0,0.0,0.0,18
0,0.0,0.0,17.03125,0.0,0.0,0.0,26
0,0.0,0.0,17.1875,0.0,0.0,0.0,44
0,0.0,0.0,17.34375,0.0,0.0,0.0,65
0,0.0,0.0,17.5,0.0,0.0,0.0,65
0,0.0,0.0,17.65625,0.0,0.0,0.0,65
0,0.0,0.0,17.8125,0.0,0.0,0.0,44
0,0.0,0.0,17.96875,0.0,0.0,0.0,26
0,0.0,0.0,18.125,0.0,0.0,0.0,18
0,0.0,0.0,18.28125,0.0,0.0,0.0,14
0,0.0,0.0,18.4375,0.0,0.0,0.0,12
0,0.0,0.0,18.59375,0.0,0.0,0.0,12
0,0.0,0.0,18.75,0.0,0.0,0.0,10
0,0.0,0.0,18.90625,0.0,0.0,0.0,8
0,0.0,0.0,19.0625,0.0,0.0,0.0,8
0,0.0,0.0,19.21875,0.0,0.0,0.0,8
0,0.0,0.0,19.375,0.0,0.0,0.0,8
0,0.0,0.0,19.53125,0.0,0.0,0.0,8
0,0.0,0.0,19.6875,0.0,0.0,0.0,7
0,0.0,0.0,19.84375,0.0,0.0,0.0,6
0,0.0,0.0,20.0,0.0,0.0,0.0,6
0,0.0,0.0,20.15625,0.0,0.0,0.0,6
0,0.0,0.0,20.3125,0.0,0.0,0.0,8
0,0.0,0.0,20.46875,0.0,0.0,0.0,8
0,0.0,0.0,20.625,0.0,0.0,0.0,8
0,0.0,0.0,20.78125,0.0,0.0,0.0,8
0,0.0,0.0,20.9375,0.0,0.0,0.0,8
0,0.0,0.0,21.09375,0.0,0.0,0.0,8
0,0.0,0.0,21.25,0.0,0.0,0.0,10
0,0.0,0.0,21.40625,0.0,0.0,0.0,12
0,0.0,0.0,21.5625,0.0,0.0,0.0,12
0,0.0,0.0,21.71875,0.0,0.0,0.0,14
