topology,relative_density,resolution,active_fraction,Q11
BCC,0.15,48,0.15073423,7.93250259982
Diamond,0.15,48,0.15001085,81.9221914032
Gyroid,0.1,48,0.10001628,41.9821282115
Gyroid,0.15,48,0.15005606,64.7890504278
Gyroid,0.2,48,0.20011393,93.6170931727
I-WP,0.15,48,0.15002894,60.1436572159
Primitive,0.15,48,0.1500651,39.6870158612
